"item_id","flow","step","title","schedule","status","source_url"
"bundle-allblanc-7day-abs-day-1-item","Day 1 · 코어 + 복근 한방에! 20분 복근 운동","영상 따라 하기","코어 + 복근 한방에! 20분 복근 운동","{""type"":""sequence_day"",""day"":1}","not_started","https://www.youtube.com/watch?v=XwUKn-52ykk"
"bundle-allblanc-7day-abs-day-2-item","Day 2 · 허리 통증 없이 20분 복근 운동","영상 따라 하기","허리 통증 없이 20분 복근 운동","{""type"":""sequence_day"",""day"":2}","not_started","https://www.youtube.com/watch?v=KzH8TcfyKFA"
"bundle-allblanc-7day-abs-day-3-item","Day 3 · 아랫 뱃살 집중 타격 20분 운동","영상 따라 하기","아랫 뱃살 집중 타격 20분 운동","{""type"":""sequence_day"",""day"":3}","not_started","https://www.youtube.com/watch?v=Ft5gNO-2Je4"
"bundle-allblanc-7day-abs-day-4-item","Day 4 · 서서하는 20분 복근 운동","영상 따라 하기","서서하는 20분 복근 운동","{""type"":""sequence_day"",""day"":4}","not_started","https://www.youtube.com/watch?v=8RzHWcq6eq0"
"bundle-allblanc-7day-abs-day-5-item","Day 5 · 집에서 옆구리살 빼기 20분 운동","영상 따라 하기","집에서 옆구리살 빼기 20분 운동","{""type"":""sequence_day"",""day"":5}","not_started","https://www.youtube.com/watch?v=peQuipmDIuc"
"bundle-allblanc-7day-abs-day-6-item","Day 6 · 허리 군살 제거 20분 복근 홈트","영상 따라 하기","허리 군살 제거 20분 복근 홈트","{""type"":""sequence_day"",""day"":6}","not_started","https://www.youtube.com/watch?v=K3yO9oHgaIs"
"bundle-allblanc-7day-abs-day-7-item","Day 7 · 헤어질 결심: 복부지방 20분 운동","영상 따라 하기","헤어질 결심: 복부지방 20분 운동","{""type"":""sequence_day"",""day"":7}","not_started","https://www.youtube.com/watch?v=W2fS4TqeWCc"
